,Your Rating,Date Rated,Title,URL,IMDb Rating,Runtime (mins),Year,Genres,Release Date,Directors,Viewing Year
0,5,2022-02-22,Unhinged,https://www.imdb.com/title/tt10059518/,6.0,90,2020,"Action, Thriller",2020-07-16,Derrick Borte,Before 2022
1,8,2022-02-22,Ouistreham,https://www.imdb.com/title/tt10088984/,6.7,106,2021,Drama,2021-07-07,Emmanuel Carrère,Before 2022
2,8,2022-02-22,Slumdog Millionaire,https://www.imdb.com/title/tt1010048/,8.0,120,2008,"Drama, Romance",2008-08-30,"Loveleen Tandan, Danny Boyle",Before 2022
3,1,2022-02-22,Tout nous sourit,https://www.imdb.com/title/tt10143308/,5.6,101,2020,Comedy,2020-01-16,Mélissa Drigeard,Before 2022
4,5,2022-02-22,Eugénie Grandet,https://www.imdb.com/title/tt10196108/,6.1,103,2021,Drama,2021-06-10,Marc Dugain,Before 2022
5,8,2022-02-22,Adieu les cons,https://www.imdb.com/title/tt10196398/,6.8,87,2020,"Comedy, Drama",2020-06-29,Albert Dupontel,Before 2022
6,9,2022-02-22,Les misérables,https://www.imdb.com/title/tt10199590/,7.6,104,2019,"Crime, Drama, Thriller",2019-05-15,Ladj Ly,Before 2022
7,5,2022-02-22,(500) Days of Summer,https://www.imdb.com/title/tt1022603/,7.6,95,2009,"Comedy, Drama, Romance",2009-01-17,Marc Webb,Before 2022
8,2,2022-02-22,Les blagues de Toto,https://www.imdb.com/title/tt10233406/,3.9,84,2020,"Comedy, Family",2020-08-05,Pascal Bourdiaux,Before 2022
9,5,2022-02-22,Wild Child,https://www.imdb.com/title/tt1024255/,6.1,98,2008,"Comedy, Drama, Romance",2008-08-14,Nick Moore,Before 2022
10,8,2022-02-22,Hytti nro 6,https://www.imdb.com/title/tt10262648/,7.4,107,2021,"Drama, Romance",2021-07-10,Juho Kuosmanen,Before 2022
11,10,2022-02-22,The Father,https://www.imdb.com/title/tt10272386/,8.3,97,2020,"Drama, Mystery",2020-01-27,Florian Zeller,Before 2022
12,9,2022-02-22,Druk,https://www.imdb.com/title/tt10288566/,7.7,117,2020,"Comedy, Drama",2020-09-12,Thomas Vinterberg,Before 2022
13,6,2022-02-21,The Power of the Dog,https://www.imdb.com/title/tt10293406/,6.9,126,2021,"Drama, Romance, Western",2021-09-02,Jane Campion,Before 2022
14,3,2022-02-22,Madame Claude,https://www.imdb.com/title/tt10307724/,5.4,112,2021,"Biography, Crime, Drama, Romance",2021-04-02,Sylvie Verheyde,Before 2022
15,2,2022-02-22,Le bonheur des uns...,https://www.imdb.com/title/tt10334410/,6.1,104,2020,"Comedy, Drama",2020-09-09,Daniel Cohen,Before 2022
16,5,2022-02-22,Boîte noire,https://www.imdb.com/title/tt10341034/,7.3,129,2021,"Drama, Mystery, Thriller",2021-03-05,Yann Gozlan,Before 2022
17,3,2022-02-22,Terrible jungle,https://www.imdb.com/title/tt10366254/,5.3,91,2020,"Adventure, Comedy",2020-01-18,"David Caviglioli, Hugo Benamozig",Before 2022
18,4,2022-02-22,Eiffel,https://www.imdb.com/title/tt10366514/,6.2,108,2021,"Biography, Drama, History, Romance",2021-03-02,Martin Bourboulon,Before 2022
19,6,2022-02-22,Noche de fuego,https://www.imdb.com/title/tt10366574/,7.3,110,2021,Drama,2021-07-15,Tatiana Huezo,Before 2022
20,8,2022-02-22,Verdens verste menneske,https://www.imdb.com/title/tt10370710/,7.9,128,2021,"Comedy, Drama, Romance",2021-07-08,Joachim Trier,Before 2022
21,7,2022-02-22,Mandibules,https://www.imdb.com/title/tt10375106/,6.6,77,2020,"Comedy, Fantasy",2020-09-05,Quentin Dupieux,Before 2022
22,10,2022-02-22,BAC Nord,https://www.imdb.com/title/tt10404944/,6.9,105,2020,"Action, Crime, Thriller",2020-10-16,Cédric Jimenez,Before 2022
23,10,2022-02-22,Up,https://www.imdb.com/title/tt1049413/,8.2,96,2009,"Animation, Adventure, Comedy, Drama, Family",2009-05-13,"Pete Docter, Bob Peterson",Before 2022
24,10,2022-02-22,Illusions perdues,https://www.imdb.com/title/tt10505316/,7.5,149,2021,"Drama, Romance",2021-09-05,Xavier Giannoli,Before 2022
25,3,2022-02-22,L'origine du monde,https://www.imdb.com/title/tt10551904/,5.8,98,2020,Comedy,2020-09-07,Laurent Lafitte,Before 2022
26,7,2022-02-22,Boyhood,https://www.imdb.com/title/tt1065073/,7.9,165,2014,Drama,2014-01-19,Richard Linklater,Before 2022
27,6,2022-02-22,Yes Man,https://www.imdb.com/title/tt1068680/,6.8,104,2008,"Comedy, Romance",2008-12-09,Peyton Reed,Before 2022
28,4,2022-02-22,Stillwater,https://www.imdb.com/title/tt10696896/,6.6,139,2021,"Crime, Drama, Thriller",2021-07-08,Tom McCarthy,Before 2022
29,6,2022-02-22,Délicieux,https://www.imdb.com/title/tt10738536/,7.0,112,2021,"Comedy, Drama, History",2021-01-31,Éric Besnard,Before 2022
30,9,2022-02-22,Adolescentes,https://www.imdb.com/title/tt10785618/,7.1,135,2019,Documentary,2019-08-09,Sébastien Lifshitz,Before 2022
31,8,2022-02-22,Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/,8.7,148,2021,"Action, Adventure, Fantasy, Sci-Fi",2021-12-13,Jon Watts,2022
32,4,2022-02-22,De Gaulle,https://www.imdb.com/title/tt10880402/,6.0,108,2020,"Biography, Drama, History",2020-02-05,Gabriel Le Bomin,Before 2022
33,8,2022-02-22,Titane,https://www.imdb.com/title/tt10944760/,6.6,108,2021,"Drama, Horror, Sci-Fi, Thriller",2021-07-13,Julia Ducournau,Before 2022
34,2,2022-02-22,Arthur Rambo,https://www.imdb.com/title/tt10951972/,6.0,87,2021,Drama,2021-09-11,Laurent Cantet,2022
